debtor,series,Series,counterpart_area,Counterpart-Area,year,value
ARG,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,243.907014041243
ARG,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,35.8155600377188
ARG,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,20.867797997679
ARG,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.06424919750148
BDI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,17.9775747765274
BDI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.469900536623467
BEN,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,196.796002688336
BEN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,33.8624716939869
BEN,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,5.95043053609702
BEN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.02388403647979
BFA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,146.694160662989
BFA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,17.1677158713464
BFA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,5.12873970677285
BFA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.60021984287602
BGD,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,351.721205805552
BGD,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,20.9409089112837
BGD,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,6.56414740017852
BGD,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.390818666939782
BLZ,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,24.6793976120572
BLZ,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.20236007046389
BOL,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,266.297470574735
BOL,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,66.5877399544711
BOL,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,21.2214594816869
BOL,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,5.30643052061713
BRA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,309.275764110849
BRA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,31.6691441907546
BRA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,34.0595555802363
BRA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.48762205743651
BWA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,18.1436021132028
BWA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,13.3749068595239
BWA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,1.09272623037376
BWA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.805524253840007
CAF,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,94.7821747185879
CAF,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,24.3449418862933
CAF,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,1.59923427369093
CAF,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.410765690607633
CIV,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,205.027182318738
CIV,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,77.0871084654556
CIV,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,18.8169554410948
CIV,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,7.07488962523163
CMR,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,122.701530529082
CMR,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,46.2503240005735
CMR,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,7.10193425495594
CMR,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.67695731997926
COD,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,33.8302906275761
COD,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.88101359441315
COG,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,148.367092856519
COG,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,98.8916804948261
COG,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,6.63930111745637
COG,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,4.42531852700914
COL,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,121.758821170884
COL,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,21.5216486861157
COL,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,11.8543981968519
COL,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.09534053405389
COM,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,312.73854549299
COM,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,20.6611968459308
COM,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,2.85866140779709
COM,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.188858607017104
CRI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,234.984423781388
CRI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,62.0434428925156
CRI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,15.2447796241589
CRI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,4.02511195763521
DOM,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,158.523208834057
DOM,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,32.4206560669628
DOM,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,13.7488578935344
DOM,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.81187213126903
DZA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,133.537653668954
DZA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,47.8376163921993
DZA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,10.7279642629136
DZA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.84311259767023
EAP,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,15.9037504505951
EAP,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.23393438704621
ECU,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,205.342590821543
ECU,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,35.3771055762135
ECU,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,16.0007105589561
ECU,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.75665571605925
EGY,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,293.596138437238
EGY,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,94.6588242744785
EGY,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,12.1158900594258
EGY,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.90630447038136
ETH,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,143.783063122983
ETH,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,11.7345636495071
ETH,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,4.79524269948815
ETH,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.391354026335132
FJI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,36.2285146078332
FJI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,18.2585657331284
FJI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,2.71094205185143
FJI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.36626947552879
GAB,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,62.205953126201
GAB,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,39.2637378339253
GAB,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,6.2817393115055
GAB,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.96496722697315
GHA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,115.272025842882
GHA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,31.5918398749004
GHA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,4.38087931745116
GHA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.20063854951957
GIN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,12.6894461509923
GIN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.372546617663668
GMB,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,206.499503209274
GMB,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,57.7232906012614
GMB,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,5.68612825935826
GMB,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.58945677258288
GNB,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,48.7421114343866
GNB,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.580168244263879
GRD,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,55.0801276214834
GRD,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,19.8098478099267
GRD,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,2.04042429667519
GRD,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.733848967500337
GTM,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,69.2341691657579
GTM,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,16.2070132808312
GTM,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,3.84830970556161
GTM,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.900850075306972
GUY,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,205.270364780507
GUY,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,150.152336464552
GUY,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,8.74485199695278
GUY,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,6.39673418412443
HND,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,162.56609577756
HND,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,41.3319196719012
HND,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,12.6630116491808
HND,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.21953097160213
HTI,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,123.925299800333
HTI,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,27.9413319313618
HTI,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,2.95201298600199
HTI,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.665587856882074
IDA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,129.707953750157
IDA,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,29.6034302075994
IDA,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,6.45939263052581
IDA,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.47423633935032
IDN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,30.2238440480183
IDN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.09570839931467
IDX,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,235.301842398503
IDX,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,35.4576826423765
IDX,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,9.95998333091167
IDX,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.50087192038524
IND,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,168.04148891737
IND,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,11.0959139435883
IND,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,5.04020945175249
IND,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.332809062182292
IRN,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,32.8213075619982
IRN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,4.84980976823162
IRN,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,3.09517365096284
IRN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,0.457355435290246
JAM,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,136.002964912774
JAM,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,78.3591761981349
JAM,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,11.2538116699494
JAM,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,6.48397196422708
JOR,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,109.54468239162
JOR,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,47.3133155545964
JOR,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,6.236589817334
JOR,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,2.69363820835432
KEN,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,164.306747907434
KEN,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,48.0846743344258
KEN,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,11.1096441133866
KEN,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.25125794264105
LAC,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,236.704926746308
LAC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,32.1508929352901
LAC,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,23.5992222443052
LAC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.20540885296385
LBR,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,111.766034066324
LBR,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,71.1268976161655
LBR,DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",WLD,World,1980,5.76112256762757
LBR,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,3.66632652258789
LDC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,31.0959669985819
LDC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.00603357830304
LIC,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),WLD,World,1980,31.0811649584558
LIC,DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),WLD,World,1980,1.18156056664238
LKA,DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",WLD,World,1980,137.991585959499
